Snowpit form for Snowpyt package														
														
Method:	1. Input values in green. If no value, leave cell empty													
	2. make sure spelling of snowflakes is correct, and hardness code is computed													
	3. save as csv file with tab delimiting fields													
	4. ready to import with Snowpyt package!													
														
Supported snowflake names		Hardness coding												
chain of depth hoar		feast	1											
depth hoar		4 finger	2											
faceted		3 finger	3											
faceted rounded		2 finger	4											
ice		1 finger	5											
melt refreeze		pencil	6											
partly decomposed		knife	7											
recent snow														
rounded														
rounded faceted														
wind broken														
wind packed														
clustered rounded														
dendrites														
														
														
Metadata														
Snowpit Name														
Date [YYYY-mm-dd]	2016-11-22													
Time [24hr]	10													
Observer	Simon F.													
General location	Finse Research Station													
East [deg]	7.525548	deg												
North [deg]	60.594149	deg												
Elevation [m]	1214	m												
Weather conditions	cloudy, wind saltating snow with some suspension. Wind < 10m/s													
Comments	first snowpit of the season at finse. Ground was frozen hard. Moss hard frozen													
Air temperature [degC]	-2.7													
														
Stratigraphy										Density			Temperature	
Layer #, from top to bottom	Top [cm]	Bottom [cm]	Type 1	Type 2	Diameter min [mm]	Diameter max [mm]	Hardness	Hardness code		Depth Center [cm]	Snow Density [g/cm³]		Depth [cm]	Temp [deg C]
1	0	4	wind broken	partly decomposed	0.2	0.5	feast	1		3	12.4		0	-2.7
2	4	7	wind broken	partly decomposed	0.2	0.5	feast	1		9	19		5	-3.6
3	7	12	wind broken	partly decomposed	0.5	1	3 finger	3		14	10.6		18	-4.1
4	12	16	wind broken	partly decomposed	0.5	1	feast	1		21	19		45	0
5	16	17	wind broken	partly decomposed	0.5	1	3 finger	3		29	23.4			
6	17	19.5	rounded faceted	faceted rounded	0.2	0.2	feast	1		35	26.3			
7	19.5	23.5	rounded faceted		0.2	0.3	feast	1		42	28.3			
8	23.5	25.5	wind packed		0.1	0.3	1 finger	5						
9	25.5	28	wind packed	rounded faceted	0.2	0.3	3 finger	3						
10	28	30	faceted rounded		0.2	0.3	3 finger	3						
11	30	32	faceted		0.2	0.3	3 finger	3						
12	32	39	faceted	wind packed	0.5	1	1 finger	5						
13	39	47	faceted	melt refreeze	1	2	knife	7						
